sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,infer_ms
patient0004_2CH_ED_f000__la,patient0004_2CH_ED_f000,patient0004_2CH_ED_f000__la,3,LA,0,#2ca02c,641,454,"[275, 319, 416, 472]",0.8938668986516206,0.8081006685018773,245.11875002644956
patient0004_2CH_ES_f000__lv,patient0004_2CH_ES_f000,patient0004_2CH_ES_f000__lv,1,LV,0,#1f77b4,641,454,"[82, 286, 257, 392]",0.7474090631986395,0.5966904607400411,240.89575000107288
patient0004_2CH_ES_f000__la,patient0004_2CH_ES_f000,patient0004_2CH_ES_f000__la,3,LA,0,#2ca02c,641,454,"[253, 287, 415, 445]",0.8928679359323328,0.8064692234203146,242.95116699067876
patient0004_4CH_ED_f000__lv,patient0004_4CH_ED_f000,patient0004_4CH_ED_f000__lv,1,LV,0,#1f77b4,641,454,"[61, 253, 303, 438]",0.8341929821860484,0.7155498032172759,247.808417014312
patient0004_4CH_ED_f000__la,patient0004_4CH_ED_f000,patient0004_4CH_ED_f000__la,3,LA,0,#2ca02c,641,454,"[272, 300, 440, 448]",0.9305301173739376,0.8700853876212696,265.53924998734146
patient0004_4CH_ES_f000__lv,patient0004_4CH_ES_f000,patient0004_4CH_ES_f000__lv,1,LV,0,#1f77b4,641,454,"[62, 288, 271, 409]",0.8317840014210932,0.7120121642170745,250.9293329785578
patient0004_4CH_ES_f000__la,patient0004_4CH_ES_f000,patient0004_4CH_ES_f000__la,3,LA,0,#2ca02c,641,454,"[251, 278, 440, 460]",0.9170339932760708,0.8467800351833856,267.1279169735499
patient0005_2CH_ED_f000__lv,patient0005_2CH_ED_f000,patient0005_2CH_ED_f000__lv,1,LV,0,#1f77b4,591,487,"[70, 240, 287, 395]",0.8626099018788147,0.75841165076413,278.6659999983385
patient0005_2CH_ED_f000__la,patient0005_2CH_ED_f000,patient0005_2CH_ED_f000__la,3,LA,0,#2ca02c,591,487,"[272, 263, 483, 443]",0.8707212283420428,0.7710418810615989,247.4017909844406
patient0005_2CH_ES_f000__lv,patient0005_2CH_ES_f000,patient0005_2CH_ES_f000__lv,1,LV,0,#1f77b4,591,487,"[76, 238, 260, 359]",0.7965627911792813,0.6619064005507789,241.21458298759535
patient0005_2CH_ES_f000__la,patient0005_2CH_ES_f000,patient0005_2CH_ES_f000__la,3,LA,0,#2ca02c,591,487,"[254, 244, 473, 421]",0.8910341694519436,0.8034820775421205,254.05558402417228
patient0005_4CH_ED_f000__lv,patient0005_4CH_ED_f000,patient0005_4CH_ED_f000__lv,1,LV,0,#1f77b4,591,487,"[82, 246, 297, 408]",0.8624519268503527,0.758167454376183,254.01945802150294
patient0005_4CH_ED_f000__la,patient0005_4CH_ED_f000,patient0005_4CH_ED_f000__la,3,LA,0,#2ca02c,591,487,"[275, 265, 474, 399]",0.9002218375954023,0.818548565855469,243.29670798033476
patient0005_4CH_ES_f000__lv,patient0005_4CH_ES_f000,patient0005_4CH_ES_f000__lv,1,LV,0,#1f77b4,591,487,"[93, 246, 275, 366]",0.8265380987318497,0.7043586995357245,240.8065419876948
patient0005_4CH_ES_f000__la,patient0005_4CH_ES_f000,patient0005_4CH_ES_f000__la,3,LA,0,#2ca02c,591,487,"[250, 257, 467, 414]",0.9097909584358677,0.834510560589934,265.5352499568835
patient0006_2CH_ED_f000__lv,patient0006_2CH_ED_f000,patient0006_2CH_ED_f000__lv,1,LV,0,#1f77b4,669,552,"[63, 248, 304, 409]",0.8034298121331805,0.6714439489467411,258.71883297804743
patient0006_2CH_ED_f000__la,patient0006_2CH_ED_f000,patient0006_2CH_ED_f000__la,3,LA,0,#2ca02c,669,552,"[286, 283, 463, 472]",0.8824169519023638,0.7895761781681161,244.07770799007267
patient0006_2CH_ES_f000__lv,patient0006_2CH_ES_f000,patient0006_2CH_ES_f000__lv,1,LV,0,#1f77b4,669,552,"[80, 245, 287, 373]",0.7795004826255493,0.6386733231181658,240.97470799461007
patient0006_2CH_ES_f000__la,patient0006_2CH_ES_f000,patient0006_2CH_ES_f000__la,3,LA,0,#2ca02c,669,552,"[272, 268, 464, 426]",0.8753339850114314,0.7783057132924718,243.4054589830339
patient0006_4CH_ED_f000__lv,patient0006_4CH_ED_f000,patient0006_4CH_ED_f000__lv,1,LV,0,#1f77b4,669,552,"[66, 284, 310, 431]",0.8464692655089952,0.7338072928612084,256.310458004009
